customer_reference,abstract_product_sku,locale_name,nickname,summary,description,rating,status
DE--1,086,en_US,Spencor,Donec vestibulum lectus ligula,"Donec vestibulum lectus ligula, non aliquet neque vulputate vel. Integer neque massa, ornare sit amet felis vitae, pretium feugiat magna. Suspendisse mollis rutrum ante, vitae gravida ipsum commodo quis. Donec eleifend orci sit amet nisi suscipit pulvinar. Nullam ullamcorper dui lorem, nec vehicula justo accumsan id. Sed venenatis magna at posuere maximus. Sed in mauris mauris. Curabitur quam ex, vulputate ac dignissim ac, auctor eget lorem. Cras vestibulum ex quis interdum tristique.",4,approved
DE--2,086,en_US,Maria,"Curabitur varius, dui ac vulputate ullamcorper","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vel mauris consequat, dictum metus id, facilisis quam. Vestibulum imperdiet aliquam interdum. Pellentesque tempus at neque sed laoreet. Nam elementum vitae nunc fermentum suscipit. Suspendisse finibus risus at sem pretium ullamcorper. Donec rutrum nulla nec massa tristique, porttitor gravida risus feugiat. Ut aliquam turpis nisi.",5,approved
DE--3,086,en_US,Maggie,Aliquam erat volutpat,"Morbi vitae ultricies libero. Aenean id lectus a elit sollicitudin commodo. Donec mattis libero sem, eu convallis nulla rhoncus ac. Nam tincidunt volutpat sem, eu congue augue cursus at. Mauris augue lorem, lobortis eget varius at, iaculis ac velit. Sed vulputate rutrum lorem, ut rhoncus dolor commodo ac. Aenean sed varius massa. Quisque tristique orci nec blandit fermentum. Sed non vestibulum ante, vitae tincidunt odio. Integer quis elit eros. Phasellus tempor dolor lectus, et egestas magna convallis quis. Ut sed odio nulla. Suspendisse quis laoreet nulla. Integer quis justo at velit euismod imperdiet. Ut orci dui, placerat ut ex ac, lobortis ullamcorper dui. Etiam euismod risus hendrerit laoreet auctor.",1,approved
DE--4,086,en_US,Bill,Nullam tincidunt mauris in nisi bibendum,"Fusce lobortis tortor ligula, id tempus urna lobortis vel. Quisque accumsan ornare sapien ac rutrum. Cras viverra at sem sit amet dapibus. Proin vitae odio ullamcorper, blandit metus sed, sollicitudin sapien. Suspendisse quis orci eu nulla tristique pretium. Sed tincidunt eget risus in commodo. Morbi ornare in libero a blandit.",4,approved
DE--1,086,en_US,Spencor,"Curabitur ultricies, sapien quis placerat lacinia","Etiam venenatis sit amet lorem eget tristique. Donec rutrum massa nec commodo cursus. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Suspendisse scelerisque scelerisque augue eget condimentum. Quisque quis arcu consequat, lacinia nulla tempor, venenatis ante. In ullamcorper, orci sit amet tempus tincidunt, massa augue molestie enim, in finibus metus odio at purus. Mauris ut semper sem, a ornare sapien. Fusce eget facilisis felis. Integer imperdiet massa a tortor varius, tincidunt laoreet ipsum viverra.",1,rejected
DE--1,066,en_US,Spencor,Donec vestibulum lectus ligula,"Donec vestibulum lectus ligula, non aliquet neque vulputate vel. Integer neque massa, ornare sit amet felis vitae, pretium feugiat magna. Suspendisse mollis rutrum ante, vitae gravida ipsum commodo quis. Donec eleifend orci sit amet nisi suscipit pulvinar. Nullam ullamcorper dui lorem, nec vehicula justo accumsan id. Sed venenatis magna at posuere maximus. Sed in mauris mauris. Curabitur quam ex, vulputate ac dignissim ac, auctor eget lorem. Cras vestibulum ex quis interdum tristique.",4,approved
DE--2,066,en_US,Maria,"Curabitur varius, dui ac vulputate ullamcorper","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vel mauris consequat, dictum metus id, facilisis quam. Vestibulum imperdiet aliquam interdum. Pellentesque tempus at neque sed laoreet. Nam elementum vitae nunc fermentum suscipit. Suspendisse finibus risus at sem pretium ullamcorper. Donec rutrum nulla nec massa tristique, porttitor gravida risus feugiat. Ut aliquam turpis nisi.",4,approved
DE--3,066,en_US,Maggie,Aliquam erat volutpat,"Morbi vitae ultricies libero. Aenean id lectus a elit sollicitudin commodo. Donec mattis libero sem, eu convallis nulla rhoncus ac. Nam tincidunt volutpat sem, eu congue augue cursus at. Mauris augue lorem, lobortis eget varius at, iaculis ac velit. Sed vulputate rutrum lorem, ut rhoncus dolor commodo ac. Aenean sed varius massa. Quisque tristique orci nec blandit fermentum. Sed non vestibulum ante, vitae tincidunt odio. Integer quis elit eros. Phasellus tempor dolor lectus, et egestas magna convallis quis. Ut sed odio nulla. Suspendisse quis laoreet nulla. Integer quis justo at velit euismod imperdiet. Ut orci dui, placerat ut ex ac, lobortis ullamcorper dui. Etiam euismod risus hendrerit laoreet auctor.",4,approved
DE--4,066,en_US,Bill,Nullam tincidunt mauris in nisi bibendum,"Fusce lobortis tortor ligula, id tempus urna lobortis vel. Quisque accumsan ornare sapien ac rutrum. Cras viverra at sem sit amet dapibus. Proin vitae odio ullamcorper, blandit metus sed, sollicitudin sapien. Suspendisse quis orci eu nulla tristique pretium. Sed tincidunt eget risus in commodo. Morbi ornare in libero a blandit.",4,pending
DE--1,066,en_US,Spencor,"Curabitur ultricies, sapien quis placerat lacinia","Etiam venenatis sit amet lorem eget tristique. Donec rutrum massa nec commodo cursus. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Suspendisse scelerisque scelerisque augue eget condimentum. Quisque quis arcu consequat, lacinia nulla tempor, venenatis ante. In ullamcorper, orci sit amet tempus tincidunt, massa augue molestie enim, in finibus metus odio at purus. Mauris ut semper sem, a ornare sapien. Fusce eget facilisis felis. Integer imperdiet massa a tortor varius, tincidunt laoreet ipsum viverra.",3,approved
DE--1,066,en_US,Spencor,Cras porttitor,"Cras porttitor, odio vel ultricies commodo, erat turpis pulvinar turpis, id faucibus dolor odio a tellus. Mauris et nibh tempus, convallis ipsum luctus, mollis risus. Donec molestie orci ante, id tristique diam interdum eget. Praesent erat neque, sollicitudin sit amet pellentesque eget, gravida in lectus. Donec ultrices, nisl in laoreet ultrices, nunc enim lacinia felis, ac convallis tortor ligula non eros. Morbi semper ipsum non elit mollis, non commodo arcu porta. Mauris tincidunt purus rutrum erat ornare, varius egestas eros eleifend.",5,approved
DE--2,066,en_US,Maria,Suspendisse lobortis nunc quis mauris tincidunt accumsan,"Suspendisse lobortis nunc quis mauris tincidunt accumsan. Fusce mi enim, semper ut maximus vel, viverra congue erat. Phasellus nibh risus, tristique vel pellentesque eget, maximus vel diam. Aenean eleifend mollis tincidunt. Phasellus tincidunt lorem in hendrerit malesuada. Vestibulum pellentesque enim est, vel fringilla nisl dictum a. Donec efficitur arcu ante.",4,rejected
DE--1,078,en_US,Spencor,Donec vestibulum lectus ligula,"Donec vestibulum lectus ligula, non aliquet neque vulputate vel. Integer neque massa, ornare sit amet felis vitae, pretium feugiat magna. Suspendisse mollis rutrum ante, vitae gravida ipsum commodo quis. Donec eleifend orci sit amet nisi suscipit pulvinar. Nullam ullamcorper dui lorem, nec vehicula justo accumsan id. Sed venenatis magna at posuere maximus. Sed in mauris mauris. Curabitur quam ex, vulputate ac dignissim ac, auctor eget lorem. Cras vestibulum ex quis interdum tristique.",4,approved
DE--2,078,en_US,Maria,"Curabitur varius, dui ac vulputate ullamcorper","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vel mauris consequat, dictum metus id, facilisis quam. Vestibulum imperdiet aliquam interdum. Pellentesque tempus at neque sed laoreet. Nam elementum vitae nunc fermentum suscipit. Suspendisse finibus risus at sem pretium ullamcorper. Donec rutrum nulla nec massa tristique, porttitor gravida risus feugiat. Ut aliquam turpis nisi.",4,approved
DE--3,078,en_US,Maggie,Aliquam erat volutpat,"Morbi vitae ultricies libero. Aenean id lectus a elit sollicitudin commodo. Donec mattis libero sem, eu convallis nulla rhoncus ac. Nam tincidunt volutpat sem, eu congue augue cursus at. Mauris augue lorem, lobortis eget varius at, iaculis ac velit. Sed vulputate rutrum lorem, ut rhoncus dolor commodo ac. Aenean sed varius massa. Quisque tristique orci nec blandit fermentum. Sed non vestibulum ante, vitae tincidunt odio. Integer quis elit eros. Phasellus tempor dolor lectus, et egestas magna convallis quis. Ut sed odio nulla. Suspendisse quis laoreet nulla. Integer quis justo at velit euismod imperdiet. Ut orci dui, placerat ut ex ac, lobortis ullamcorper dui. Etiam euismod risus hendrerit laoreet auctor.",4,approved
DE--1,093,de_DE,Spencor,Donec vestibulum lectus ligula,"Donec vestibulum lectus ligula, non aliquet neque vulputate vel. Integer neque massa, ornare sit amet felis vitae, pretium feugiat magna. Suspendisse mollis rutrum ante, vitae gravida ipsum commodo quis. Donec eleifend orci sit amet nisi suscipit pulvinar. Nullam ullamcorper dui lorem, nec vehicula justo accumsan id. Sed venenatis magna at posuere maximus. Sed in mauris mauris. Curabitur quam ex, vulputate ac dignissim ac, auctor eget lorem. Cras vestibulum ex quis interdum tristique.",5,approved
DE--2,093,de_DE,Maria,"Curabitur varius, dui ac vulputate ullamcorper","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vel mauris consequat, dictum metus id, facilisis quam. Vestibulum imperdiet aliquam interdum. Pellentesque tempus at neque sed laoreet. Nam elementum vitae nunc fermentum suscipit. Suspendisse finibus risus at sem pretium ullamcorper. Donec rutrum nulla nec massa tristique, porttitor gravida risus feugiat. Ut aliquam turpis nisi.",5,approved
DE--3,093,de_DE,Maggie,Aliquam erat volutpat,"Morbi vitae ultricies libero. Aenean id lectus a elit sollicitudin commodo. Donec mattis libero sem, eu convallis nulla rhoncus ac. Nam tincidunt volutpat sem, eu congue augue cursus at. Mauris augue lorem, lobortis eget varius at, iaculis ac velit. Sed vulputate rutrum lorem, ut rhoncus dolor commodo ac. Aenean sed varius massa. Quisque tristique orci nec blandit fermentum. Sed non vestibulum ante, vitae tincidunt odio. Integer quis elit eros. Phasellus tempor dolor lectus, et egestas magna convallis quis. Ut sed odio nulla. Suspendisse quis laoreet nulla. Integer quis justo at velit euismod imperdiet. Ut orci dui, placerat ut ex ac, lobortis ullamcorper dui. Etiam euismod risus hendrerit laoreet auctor.",3,approved
DE--4,093,de_DE,Bill,Nullam tincidunt mauris in nisi bibendum,"Fusce lobortis tortor ligula, id tempus urna lobortis vel. Quisque accumsan ornare sapien ac rutrum. Cras viverra at sem sit amet dapibus. Proin vitae odio ullamcorper, blandit metus sed, sollicitudin sapien. Suspendisse quis orci eu nulla tristique pretium. Sed tincidunt eget risus in commodo. Morbi ornare in libero a blandit.",4,approved
DE--1,093,de_DE,Spencor,"Curabitur ultricies, sapien quis placerat lacinia","Etiam venenatis sit amet lorem eget tristique. Donec rutrum massa nec commodo cursus. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Suspendisse scelerisque scelerisque augue eget condimentum. Quisque quis arcu consequat, lacinia nulla tempor, venenatis ante. In ullamcorper, orci sit amet tempus tincidunt, massa augue molestie enim, in finibus metus odio at purus. Mauris ut semper sem, a ornare sapien. Fusce eget facilisis felis. Integer imperdiet massa a tortor varius, tincidunt laoreet ipsum viverra.",1,rejected
DE--1,139,en_US,Spencor,Great convertible notebook at a great price.,Great for a cheap price! Get's the job done. It's nearly two years old and still works as good as new.,5,approved
DE--2,139,en_US,Maria,Did not lasted as long as possible,ASUS computer died after about 2 years. It should hhave lasted as long as possible.,3,approved
DE--3,139,en_US,Maggie,Good enough,Met the purpose I bought it for. Am satisfied,4,approved
DE--4,139,en_US,Bill,"Great product, useful and good for travel with one serious power management flaw","Very good Display, good Keyboard size and feel. Easy to use and great for travel. Why I dont give it 5 stars well one main reason:
If you unplug it and put it to sleep it drain the battery hella fast so it needs to be constantly plugged in or you have to always shut it down all the way then startup takes more time. My laptop can be in sleep mode for 3 days or a week and the battery will not die this one you leave it in sleep for 12 hours that is it its done.",4,approved
DE--5,139,en_US,George,SUPER Excellent,Been using this for over a year. Had 2 friends get one. They love them. I believe it IS the best Tablet/Laptop on the market.,4,approved
DE--6,139,en_US,Henry,Great product in theory,"Great product in theory. Solid build, great price. I bought the 2GB RAM model, and honestly it just wasn't enough for what I wanted to do (internet surfing, netflix, gameboy emulators)",4,approved
DE--1,035,de_DE,Spencor,Donec vestibulum lectus ligula,"Donec vestibulum lectus ligula, non aliquet neque vulputate vel. Integer neque massa, ornare sit amet felis vitae, pretium feugiat magna. Suspendisse mollis rutrum ante, vitae gravida ipsum commodo quis. Donec eleifend orci sit amet nisi suscipit pulvinar. Nullam ullamcorper dui lorem, nec vehicula justo accumsan id. Sed venenatis magna at posuere maximus. Sed in mauris mauris. Curabitur quam ex, vulputate ac dignissim ac, auctor eget lorem. Cras vestibulum ex quis interdum tristique.",5,approved
DE--2,035,de_DE,Maria,"Curabitur varius, dui ac vulputate ullamcorper","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vel mauris consequat, dictum metus id, facilisis quam. Vestibulum imperdiet aliquam interdum. Pellentesque tempus at neque sed laoreet. Nam elementum vitae nunc fermentum suscipit. Suspendisse finibus risus at sem pretium ullamcorper. Donec rutrum nulla nec massa tristique, porttitor gravida risus feugiat. Ut aliquam turpis nisi.",5,approved
DE--3,035,de_DE,Maggie,Aliquam erat volutpat,"Morbi vitae ultricies libero. Aenean id lectus a elit sollicitudin commodo. Donec mattis libero sem, eu convallis nulla rhoncus ac. Nam tincidunt volutpat sem, eu congue augue cursus at. Mauris augue lorem, lobortis eget varius at, iaculis ac velit. Sed vulputate rutrum lorem, ut rhoncus dolor commodo ac. Aenean sed varius massa. Quisque tristique orci nec blandit fermentum. Sed non vestibulum ante, vitae tincidunt odio. Integer quis elit eros. Phasellus tempor dolor lectus, et egestas magna convallis quis. Ut sed odio nulla. Suspendisse quis laoreet nulla. Integer quis justo at velit euismod imperdiet. Ut orci dui, placerat ut ex ac, lobortis ullamcorper dui. Etiam euismod risus hendrerit laoreet auctor.",4,approved